Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
250	-209.0488	-188.3159	-20.73286	582072.8	5.537697	0.128996	0.128314	0.0318894	0.0397716	0.318407	0.0124932	0.0414185	0.0170403	0.370714	0.0434323	0.0352296	0.329512	0.0575444	0.143752	0.108464	0.0574585	0.0738309	0.105969	0.814661	0.0911533	0.0183495	0.619379	0.0138393	0.520602	0.147709	0.998334	0.999574	1.00043	1.00167	4.269931
260	-200.4551	-188.6982	-11.75691	927048.7	8.834015	0.0211312	0.0353667	0.103879	0.0452517	0.218108	0.0156429	0.0602004	0.0455578	0.392567	0.04427	0.0682093	0.173185	0.114314	0.0667631	0.188521	0.086601	0.0301951	0.110496	0.476913	0.0880972	0.016761	0.368342	0.0270008	0.0835655	0.0267034	0.99868	0.999662	1.00034	1.00132	2.907641
270	-211.4564	-194.9796	-16.47675	939444.5	5.008917	0.0145078	0.176043	0.0845048	0.112135	0.0820966	0.00881747	0.219722	0.0681999	0.262846	0.0509744	0.131208	0.157903	0.113723	0.0354615	0.259599	0.133565	0.0203009	0.145405	0.895431	0.0966288	0.0246342	0.166655	0.0309218	0.0873149	0.0126062	0.998689	0.999665	1.00033	1.00131	3.391204
280	-204.9727	-186.5853	-18.38745	551427.3	4.177792	0.0127879	0.0467219	0.16361	0.347654	0.0379422	0.00957172	0.0945847	0.0409027	0.207002	0.0323264	0.047956	0.106237	0.0648335	0.0191177	0.387217	0.0249621	0.161434	0.245136	0.712326	0.168464	0.0498875	0.125698	0.0641441	0.300526	0.00621593	0.998289	0.999562	1.00044	1.00171	3.477259
290	-202.7115	-188.9384	-13.77306	868270.9	12.41324	0.016875	0.027525	0.077629	0.0873106	0.0401847	0.00785229	0.0594076	0.032078	0.376103	0.140732	0.0245302	0.0713948	0.0748493	0.144712	0.158087	0.0621426	0.215012	0.119721	0.512296	0.222668	0.0728654	0.0968116	0.0848729	0.130451	0.00295857	0.998636	0.999651	1.00035	1.00136	2.859068
300	-197.4113	-185.4029	-12.00844	837711.9	7.987791	0.0169549	0.0668954	0.112275	0.254895	0.0343405	0.00503705	0.0712741	0.0137599	0.135167	0.0924612	0.0402366	0.0638152	0.114014	0.131246	0.332361	0.114307	0.136757	0.201718	0.452247	0.112001	0.137342	0.161249	0.0818459	0.0631051	0.00789501	0.998612	0.999645	1.00035	1.00139	2.953199
310	-205.662	-189.9642	-15.69778	649590.7	6.996086	0.0191532	0.0511091	0.0711354	0.184415	0.0770399	0.0233094	0.0950132	0.0283068	0.674522	0.146624	0.0372885	0.0440647	0.0354601	0.170581	0.348663	0.0235899	0.124632	0.157192	0.31198	0.0717936	0.0430573	0.424096	0.0975749	0.189297	0.00390844	0.998423	0.999597	1.0004	1.00158	3.453807
320	-207.2465	-187.881	-19.36549	687066.9	4.994458	0.0499111	0.0448696	0.146126	0.148372	0.148632	0.110018	0.108404	0.104111	0.325716	0.216407	0.0304107	0.0653348	0.00775833	0.136226	0.19477	0.0202581	0.101386	0.103633	0.389175	0.204888	0.292308	0.580038	0.224693	0.197591	0.014482	0.998467	0.999608	1.00039	1.00153	3.965519
330	-210.0933	-186.1122	-23.98115	665859.9	3.911223	0.127931	0.303952	0.0517547	0.256438	0.0644052	0.0680377	0.0842922	0.111154	0.375851	0.318751	0.0256542	0.0373755	0.0143323	0.0417994	0.0336888	0.0292145	0.108212	0.107266	1.12334	0.0934495	0.2541	0.915365	0.121817	0.04644	0.0219963	0.998443	0.999602	1.0004	1.00156	4.736616
340	-201.7845	-182.132	-19.65243	453960.5	6.613465	0.0512034	0.126889	0.058289	0.234052	0.161937	0.0658221	0.0492138	0.054593	0.249837	0.332131	0.0182874	0.18416	0.00573714	0.0312656	0.0535231	0.0264259	0.0583226	0.372595	0.823501	0.0194416	0.324447	0.583103	0.0612205	0.086317	0.0182467	0.998114	0.999518	1.00048	1.00189	4.050558
350	-210.7634	-188.9572	-21.80616	639984.4	3.920937	0.143512	0.10154	0.0814248	0.17623	0.132974	0.0613856	0.0751265	0.0239137	0.111327	0.436393	0.0150353	0.659307	0.00472036	0.0470876	0.0330106	0.0143468	0.0360958	0.192184	1.03944	0.0305249	0.0633233	0.487731	0.0708535	0.133971	0.0140248	0.998412	0.999594	1.00041	1.00159	4.185488
360	-207.7791	-189.3609	-18.41823	923776.3	6.218811	0.0809949	0.135569	0.174469	0.136412	0.0366589	0.0340569	0.0743049	0.0134323	0.215372	0.288078	0.00997794	0.283911	0.00215174	0.0392225	0.0212162	0.0227898	0.0638081	0.318511	0.704329	0.0143891	0.239986	0.628141	0.191035	0.123265	0.0224113	0.998678	0.999662	1.00034	1.00132	3.874492
370	-208.1132	-186.1876	-21.92558	587314.1	8.28279	0.0686834	0.0828941	0.0530997	0.0647842	0.0679973	0.0917358	0.0474246	0.0446835	0.087191	0.0579038	0.0216837	0.1841	0.00168029	0.0290686	0.0131984	0.00719186	0.197598	0.240459	1.02058	0.0187183	0.117846	1.35562	0.146382	0.095554	0.0316024	0.998342	0.999576	1.00042	1.00166	4.147674
380	-203.4586	-184.6235	-18.83504	347494.2	5.2278	0.0359832	0.0449887	0.0811789	0.116984	0.180414	0.12234	0.0269466	0.0423298	0.195903	0.0375586	0.0137276	0.16111	0.000660912	0.0307075	0.00372544	0.0109772	0.0925956	0.193088	0.257751	0.127791	0.112101	1.50961	0.266807	0.0951071	0.136099	0.997845	0.999448	1.00055	1.00216	3.896485
390	-209.9512	-190.4914	-19.45985	751444.8	9.429999	0.0413707	0.0396154	0.113516	0.082524	0.10434	0.185744	0.0323175	0.0563985	0.159536	0.0430755	0.0195201	0.0934508	0.00081887	0.120404	0.00824723	0.0241418	0.111587	0.388545	0.323189	0.0409961	0.147307	0.547373	0.182457	0.533179	0.30152	0.998534	0.999625	1.00037	1.00147	3.701172
400	-211.8016	-190.5267	-21.27494	806476.5	4.44531	0.081531	0.0732717	0.0432365	0.0809229	0.148175	0.198589	0.0446026	0.19143	0.626399	0.0160857	0.0166958	0.140475	0.000793697	0.141874	0.00967504	0.0636717	0.0650468	0.463301	0.244738	0.0333672	0.0408001	0.650163	0.252234	0.408176	0.219321	0.998585	0.999638	1.00036	1.00142	4.254577
410	-199.0835	-185.9184	-13.16518	794277	8.274005	0.0473946	0.0344253	0.0364182	0.178011	0.1591	0.0653761	0.0371704	0.101035	0.4359	0.031833	0.00554264	0.256425	0.000818229	0.0580158	0.0120173	0.023206	0.031705	0.228004	0.260746	0.123544	0.0202988	0.37834	0.230877	0.253936	0.0801583	0.998574	0.999635	1.00036	1.00143	3.090299
420	-198.6296	-182.9634	-15.66617	433776.1	5.322039	0.0851202	0.0168174	0.0704901	0.141729	0.0883799	0.0526845	0.0577682	0.0904643	0.281745	0.0792119	0.00582715	0.117866	0.00124663	0.0740044	0.00594816	0.0132964	0.0873221	0.28021	0.393627	0.08015	0.0262574	0.653074	0.229992	0.274548	0.104668	0.998071	0.999506	1.00049	1.00193	3.312447
430	-203.3582	-187.9038	-15.45447	872459.2	7.381407	0.0410318	0.0299452	0.213467	0.124161	0.0740756	0.118864	0.0413463	0.0461189	0.123269	0.0555362	0.00914006	0.0948189	0.00427031	0.136502	0.00312083	0.0139541	0.212747	0.096357	0.284675	0.0858907	0.0133866	1.26404	0.15483	0.11537	0.0547801	0.998639	0.999652	1.00035	1.00136	3.411692
440	-200.6263	-189.0761	-11.55018	836543.2	8.297463	0.0789882	0.0241387	0.302848	0.195581	0.0820825	0.0821054	0.024424	0.00644722	0.197209	0.0321443	0.0101845	0.0196535	0.00266027	0.0965173	0.00476026	0.0146238	0.117809	0.0553334	0.374937	0.0223976	0.0282567	0.749969	0.277485	0.0852084	0.0091227	0.998611	0.999645	1.00035	1.00139	2.894888
450	-196.7372	-187.3121	-9.425122	964676.6	9.676233	0.0822379	0.0077833	0.0301463	0.153402	0.113418	0.0391752	0.0236556	0.00887181	0.176598	0.0731159	0.0146929	0.0823465	0.00145391	0.178871	0.00356865	0.0183554	0.103649	0.0737255	0.210193	0.0685836	0.112763	0.830388	0.180437	0.0420126	0.00200325	0.998706	0.999669	1.00033	1.00129	2.631447
460	-198.0906	-187.0627	-11.02792	883688.9	10.13802	0.0534351	0.00990556	0.0892951	0.0971534	0.0840426	0.024173	0.00725739	0.0408569	0.219404	0.15593	0.00492948	0.0783914	0.000831584	0.0929232	0.0116743	0.0118688	0.187665	0.0656847	0.194851	0.0725345	0.0981975	0.893528	0.13261	0.143026	0.00536761	0.998648	0.999654	1.00035	1.00135	2.775535
470	-195.0033	-185.6369	-9.366371	596136.8	9.451778	0.0413343	0.02451	0.0508012	0.139728	0.110972	0.0116491	0.00983877	0.0625283	0.186881	0.301222	0.0181759	0.0508191	0.000372422	0.0748213	0.0134959	0.0133489	0.310964	0.0151699	0.27834	0.211228	0.0455739	0.402372	0.146318	0.103268	0.00666002	0.998354	0.999579	1.00042	1.00165	2.630392
