Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
200	-477.9742	-465.9392	-12.03496	688843.9	12.00573	0.0171775	0.0591991	0.00340839	0.261853	0.0786467	0.015767	0.00543431	0.00920348	0.0798135	0.201511	0.108239	0.00563063	0.172709	0.167742	0.0109718	0.0217077	0.380631	0.0102499	0.0930505	0.021147	0.0218194	0.0663447	0.123358	0.632967	0.00997377	0.037794	0.136995	0.175729	0.0745847	0.0567653	0.0359025	0.0279706	0.129683	0.0698142	0.0138739	0.010836	0.0401166	0.0428485	0.124583	0.120744	0.125645	0.998469	0.999608	1.00039	1.00153	3.802442
210	-477.6948	-473.6609	-4.033976	636361.5	12.56233	0.0139644	0.0379469	0.00262241	0.116674	0.0649749	0.00583938	0.0153141	0.0428686	0.0470676	0.055103	0.0320031	0.00867295	0.148004	0.192254	0.00257879	0.0584033	0.161064	0.0273095	0.0468343	0.020388	0.0389697	0.0267258	0.196664	0.306232	0.00417087	0.0510547	0.0748482	0.235833	0.0416522	0.0832017	0.123704	0.0111247	0.0381737	0.0623492	0.00805645	0.029599	0.137581	0.0895161	0.0492984	0.244512	0.182955	0.998407	0.999593	1.00041	1.00159	3.13611
220	-478.8423	-468.7595	-10.08277	941809	8.97201	0.018057	0.0350254	0.0018061	0.269616	0.111914	0.00300974	0.0146609	0.0325786	0.0624343	0.0642746	0.0818722	0.0203083	0.189406	0.0789928	0.00506372	0.104009	0.0521686	0.0226469	0.0354636	0.0973325	0.0209374	0.0303824	0.268384	0.390745	0.0188247	0.0366763	0.130156	0.04416	0.0224628	0.0961956	0.24619	0.0050858	0.0496402	0.0188137	0.00471589	0.0299904	0.0720778	0.0485129	0.203859	0.475708	0.0929918	0.998691	0.999665	1.00033	1.00131	3.607151
230	-485.0754	-468.2635	-16.81189	692676.6	9.082113	0.015166	0.0891418	0.00398992	0.174282	0.0580917	0.00265394	0.00729115	0.0967263	0.041736	0.154965	0.125498	0.00587473	0.13405	0.0979449	0.00689582	0.114217	0.0168512	0.0122365	0.0145594	0.0554765	0.00808809	0.0323126	0.282736	0.651071	0.0178716	0.0405436	0.10742	0.0552927	0.0135636	0.0494925	0.197245	0.0150342	0.0736094	0.0208539	0.00968408	0.113022	0.0979294	0.0559456	0.520125	0.49924	0.26825	0.998473	0.999609	1.00039	1.00153	4.356979
240	-489.8146	-473.1105	-16.70417	278904.7	6.798532	0.00407059	0.0341898	0.0046717	0.273367	0.0701	0.00202505	0.00421412	0.0829332	0.0533863	0.123524	0.155041	0.0168888	0.137822	0.230251	0.00835283	0.0812344	0.0176225	0.00301442	0.0251767	0.0600936	0.0145262	0.0986927	0.286619	0.589204	0.0220894	0.00791107	0.14955	0.0449066	0.0293879	0.0157967	0.179607	0.0314617	0.0833568	0.0539206	0.0642338	0.15145	0.0970233	0.0571447	0.271604	0.347253	0.14158	0.997594	0.999384	1.00061	1.00241	4.125298
250	-480.7179	-469.1621	-11.55572	967464	10.32581	0.00415759	0.0728496	0.010427	0.126521	0.178862	0.00766725	0.00757565	0.0412534	0.0343703	0.0929399	0.153977	0.03899	0.0417461	0.19593	0.00578214	0.0227802	0.00846356	0.0109181	0.0501467	0.162188	0.0195631	0.046947	0.281579	0.339465	0.0284917	0.0130465	0.191406	0.0394168	0.041314	0.0215218	0.165433	0.00920504	0.02014	0.122009	0.0337997	0.0273384	0.0907351	0.0829685	0.481841	0.404853	0.0800503	0.998708	0.99967	1.00033	1.00129	3.80867
260	-467.9684	-459.5422	-8.426201	696646.9	10.84875	0.00686937	0.0849063	0.037381	0.114147	0.265902	0.0182619	0.0119369	0.0192502	0.0353752	0.0488563	0.0791511	0.016684	0.0992311	0.102349	0.0221575	0.101765	0.0110141	0.0174288	0.0397725	0.0137236	0.0326339	0.0393859	0.150179	0.330897	0.0471577	0.00888072	0.0463608	0.0414739	0.0905987	0.0112182	0.111092	0.0474905	0.0351201	0.196491	0.0132835	0.0163845	0.0339011	0.0600767	0.283415	0.683778	0.0876972	0.998477	0.999611	1.00039	1.00152	3.513679
270	-475.7967	-469.7949	-6.001823	634155.8	8.93234	0.0132714	0.064204	0.0498505	0.0681448	0.313356	0.0164205	0.00563098	0.027819	0.0368282	0.16246	0.14468	0.0210705	0.180692	0.103367	0.0400241	0.0755853	0.0484733	0.0152479	0.0562652	0.00944722	0.046495	0.105965	0.146951	0.143732	0.0392982	0.010921	0.0347119	0.0113265	0.0570788	0.00786132	0.07872	0.0933972	0.0380614	0.10796	0.0148186	0.022464	0.0967223	0.0979572	0.107557	0.321425	0.110585	0.998404	0.999592	1.00041	1.0016	3.146846
280	-484.3702	-469.7303	-14.63987	323673.8	9.535241	0.00441336	0.027	0.0751514	0.120472	0.193269	0.0375051	0.0103219	0.0378482	0.053691	0.100652	0.0946074	0.0109055	0.173021	0.0653541	0.126647	0.096563	0.0518236	0.00202909	0.057686	0.0134525	0.10708	0.131185	0.158401	0.402553	0.0261613	0.00346155	0.0310255	0.022839	0.0589159	0.00481521	0.229962	0.0903772	0.0849882	0.132105	0.0235993	0.0510247	0.0600484	0.0418578	0.189977	0.747963	0.171231	0.997767	0.999428	1.00057	1.00224	4.121986
290	-487.9745	-470.7473	-17.22723	502021.4	9.359872	0.00605006	0.0324151	0.0413502	0.076513	0.15283	0.0746307	0.0157946	0.0618947	0.0937872	0.141536	0.120806	0.0256945	0.262915	0.0102674	0.0299126	0.161365	0.261216	0.00166605	0.01946	0.0396373	0.100503	0.270345	0.213036	0.452307	0.0239519	0.00170129	0.109808	0.00847651	0.0365166	0.0145523	0.125011	0.0479847	0.0500895	0.0933913	0.109967	0.0606337	0.173239	0.0656656	0.0767374	0.570731	0.163693	0.998207	0.999541	1.00046	1.00179	4.398082
