Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
290	-823.8159	-798.2081	-25.60776	866096.7	3.353407	0.433787	0.22929	0.382104	0.553224	0.18345	0.105195	0.0429924	0.0103957	0.0158603	0.0290664	0.0954007	0.0392627	1.20181	0.431464	0.0531644	0.515073	0.00589456	0.0372548	0.784815	0.0236278	0.0652276	0.998634	0.999651	1.00035	1.00137	5.238358
300	-815.9584	-794.5711	-21.38739	761572.4	4.516627	0.297298	0.140448	0.374201	0.428992	0.186385	0.241932	0.0844439	0.0155577	0.0072901	0.011389	0.0596581	0.0543247	0.350613	0.098232	0.042975	0.828917	0.0115959	0.0947111	0.895732	0.0206566	0.0425582	0.998544	0.999628	1.00037	1.00146	4.287911
310	-822.4758	-798.8933	-23.58249	924590.6	3.995895	0.300121	0.135438	0.417014	0.314283	0.3947	0.0698765	0.11361	0.00493556	0.0147648	0.00695781	0.139583	0.066412	1.30298	0.538518	0.0587024	0.503325	0.0114634	0.0764772	0.264799	0.0150322	0.0293369	0.998678	0.999662	1.00034	1.00132	4.778326
320	-822.1218	-794.5213	-27.60056	484317.6	4.463137	0.34185	0.156223	0.462442	0.919433	0.543359	0.191041	0.0960351	0.0203416	0.00948275	0.0220172	0.0582096	0.05088	1.25776	0.178904	0.0623628	1.03868	0.0387579	0.03767	0.137091	0.0113558	0.0438582	0.998174	0.999533	1.00047	1.00183	5.677751
330	-825.3233	-797.4347	-27.8886	795306.2	2.939873	0.455589	0.0983221	0.662481	1.8234	0.45885	0.360028	0.0586312	0.0330856	0.00925452	0.0191011	0.0498371	0.0547995	0.943601	0.241795	0.0277054	0.342469	0.0331546	0.022049	0.0935645	0.00341673	0.0479194	0.998575	0.999636	1.00036	1.00143	5.839054
340	-815.9463	-794.7902	-21.15613	559372.8	4.096054	0.518287	0.0628471	0.322593	0.182971	0.14948	0.179937	0.0617565	0.0147877	0.00625098	0.0283913	0.05837	0.046463	1.17956	0.647252	0.0153846	0.125051	0.0413603	0.0518685	0.399033	0.0118195	0.0876904	0.998301	0.999565	1.00043	1.0017	4.191152
350	-817.3589	-797.7721	-19.58684	583506.2	5.038509	0.372855	0.146233	0.481539	0.0691249	0.14214	0.15443	0.0306387	0.0129398	0.0184625	0.0622007	0.0725401	0.0842834	1.24748	0.2594	0.0536775	0.191067	0.0139887	0.0659132	0.336743	0.039375	0.0664084	0.998336	0.999574	1.00042	1.00166	3.92144
360	-822.403	-794.876	-27.52702	109711.8	6.407348	0.538847	0.0661317	0.442979	0.383923	0.121043	0.109538	0.0801144	0.0119647	0.0176119	0.0302406	0.111015	0.0833801	1.75852	0.355091	0.0181301	0.110256	0.0442755	0.11317	0.579507	0.0447704	0.0473738	0.996165	0.999017	1.00098	1.00384	5.067878
370	-818.6772	-796.1873	-22.48986	88114.05	4.11714	0.515444	0.0673433	0.410145	0.881093	0.320469	0.100474	0.047	0.0108844	0.0257096	0.0693044	0.0620603	0.0833801	0.71531	0.386275	0.0220321	0.312619	0.0302536	0.0944996	0.308495	0.0281766	0.0278298	0.995721	0.998903	1.00109	1.00429	4.518798
380	-816.0594	-794.6028	-21.45664	79296.41	5.136236	0.445645	0.0558201	0.786865	0.225753	0.0668816	0.200738	0.0962199	0.00641063	0.0126301	0.0112641	0.0543539	0.0417095	0.850822	0.223074	0.0193683	0.51124	0.0685449	0.101449	0.459449	0.0173583	0.0300078	0.99549	0.998843	1.00115	1.00452	4.285605
390	-830.2256	-803.604	-26.62161	66749.64	5.177946	0.221768	0.130527	0.456807	0.457144	0.30678	0.174645	0.0785668	0.00134372	0.0269849	0.0151509	0.024299	0.0573877	1.27801	0.60587	0.00796146	0.621332	0.234018	0.18218	0.272735	0.0540266	0.0722296	0.995084	0.998739	1.00125	1.00492	5.279769
400	-834.4246	-807.7323	-26.69229	73424.17	2.744291	0.217456	0.153628	0.514213	0.444551	0.356445	0.224405	0.125031	0.00386869	0.0269531	0.0174285	0.0131175	0.0290476	0.920857	0.335024	0.013848	0.730299	0.245504	0.187233	0.51205	0.099828	0.135927	0.995313	0.998798	1.00119	1.00469	5.306714
410	-832.0517	-804.8718	-27.17986	60049.01	3.110917	0.122869	0.18308	0.60189	0.760197	0.197338	0.284932	0.0558224	0.00444314	0.00960072	0.0162127	0.0868322	0.122974	0.240699	0.0685728	0.0188051	0.910114	0.330414	0.154444	1.36472	0.0528496	0.0741267	0.994818	0.99867	1.00132	1.00519	5.660936
420	-821.9303	-794.8694	-27.06085	80176.3	6.028038	0.0468038	0.215222	0.502082	0.418785	0.0358478	0.468002	0.0251834	0.00657992	0.00733964	0.0877585	0.107534	0.0650312	0.405771	0.0567369	0.018872	0.803919	0.20323	0.0957239	1.49715	0.0165323	0.0253278	0.995514	0.99885	1.00114	1.00449	5.109433
430	-824.8065	-797.0292	-27.77726	67163.98	2.504475	0.0616132	0.265012	0.722855	0.71094	0.0416436	0.443652	0.0686494	0.010615	0.0086474	0.0406204	0.0628851	0.0702799	0.143527	0.155987	0.00427537	0.434432	0.340931	0.0721265	1.80346	0.00366865	0.034646	0.9951	0.998743	1.00125	1.00491	5.500466
440	-831.0732	-801.067	-30.00621	280115.5	3.738574	0.106628	0.294661	0.474979	1.82746	0.0882475	0.36844	0.0370366	0.00817	0.0132107	0.0972435	0.131296	0.0982501	0.0906083	0.0941414	0.00304608	0.355486	0.233912	0.0505709	2.02796	0.00627298	0.0576877	0.997599	0.999386	1.00061	1.0024	6.465311
450	-818.8441	-793.854	-24.99004	211084.7	3.248588	0.107441	0.185214	0.328464	1.5404	0.0536137	0.329228	0.0622893	0.0103301	0.00799672	0.0636	0.0617908	0.0513769	0.0967596	0.0574638	0.0141513	0.344915	0.309184	0.0871299	1.25806	0.00827714	0.0407106	0.997235	0.999292	1.00071	1.00277	5.018398
460	-819.9279	-792.9016	-27.02628	427180.5	2.856107	0.0663056	0.0587867	0.502645	0.943951	0.0694586	0.531589	0.10952	0.034774	0.00795064	0.0324711	0.0550464	0.0397576	0.0457057	0.0853796	0.0208361	0.614686	0.301895	0.0927118	1.86757	0.00448147	0.0161867	0.998056	0.999503	1.0005	1.00195	5.501706
470	-816.515	-795.6784	-20.83661	476445.5	4.067361	0.0627369	0.0688112	0.475706	0.755011	0.0239802	0.382256	0.0609752	0.0143756	0.0114956	0.02918	0.0342882	0.0305765	0.0337011	0.0260515	0.0174019	0.398444	0.362819	0.156264	1.11629	0.00547958	0.0414347	0.998159	0.999529	1.00047	1.00184	4.107277
480	-825.0051	-803.26	-21.74508	684772.4	5.71691	0.0863266	0.111019	0.316842	0.455632	0.0522323	0.351864	0.0412576	0.0256167	0.0226569	0.0259847	0.113065	0.0102159	0.0946868	0.0477314	0.0597204	0.527046	0.316059	0.114146	1.4563	0.00278403	0.0427056	0.998464	0.999607	1.00039	1.00154	4.273892
490	-820.3755	-798.3256	-22.04991	573891.7	4.548828	0.0812074	0.181415	0.416403	0.339313	0.0688012	0.175855	0.0489858	0.0283459	0.0113217	0.0737186	0.0994357	0.00863148	0.0387131	0.0477979	0.0676264	0.354705	0.204465	0.0837157	1.95565	0.00592638	0.142553	0.998323	0.999571	1.00043	1.00168	4.434584
