Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
230	-403.6949	-389.5988	-14.0961	230914.8	15.00092	0.169162	0.133744	0.123437	0.0313465	0.0269985	0.143189	0.0501806	0.0379839	0.0167384	0.0341694	0.0185706	0.0837341	0.0319178	0.0833576	0.0846178	0.0439183	0.0125927	0.0200919	0.061871	0.158868	0.0477125	0.255642	0.145444	0.641127	0.197372	0.151304	0.0401348	0.050768	0.0179363	0.0918884	0.147474	0.086565	0.00506941	0.997356	0.999323	1.00067	1.00265	3.244927
240	-398.7654	-391.2275	-7.537854	796352	10.03884	0.215642	0.08029	0.229642	0.0310894	0.0317496	0.106709	0.0773812	0.0260083	0.0325996	0.0282833	0.0226412	0.122004	0.0114024	0.212877	0.0953434	0.0303736	0.0332337	0.0239991	0.0369499	0.101136	0.132782	0.183178	0.108027	0.311278	0.056696	0.189378	0.0538731	0.0734585	0.0117393	0.0178706	0.189951	0.0897121	0.00681142	0.998576	0.999636	1.00036	1.00142	2.97411
250	-417.3292	-405.2871	-12.04206	570944.1	12.41284	0.123455	0.103734	0.0903041	0.0570903	0.0402126	0.185742	0.151734	0.0376224	0.0113657	0.0490357	0.0119395	0.0506821	0.0472101	0.140778	0.0938369	0.0550486	0.0132606	0.10729	0.0308445	0.0945995	0.0912207	0.287507	0.116368	0.625935	0.122479	0.0947906	0.0358065	0.0891341	0.0131028	0.0300709	0.148913	0.132236	0.0108945	0.998318	0.99957	1.00043	1.00168	3.294244
260	-405.9529	-401.7237	-4.229281	279551.4	11.82753	0.196927	0.0810019	0.151285	0.0739985	0.0255271	0.0735009	0.103712	0.0535639	0.0745361	0.0228603	0.0284993	0.0852801	0.0233021	0.111927	0.0311227	0.0349799	0.00541024	0.0198525	0.0201949	0.0584229	0.0283816	0.12072	0.139333	0.437416	0.0554164	0.106642	0.0131899	0.0273062	0.119618	0.0174284	0.262929	0.034222	0.0333317	0.997597	0.999385	1.00061	1.00241	2.671839
270	-406.5212	-398.5309	-7.99026	879980.8	16.35686	0.126413	0.0852052	0.148601	0.152892	0.12545	0.135112	0.0383738	0.0856812	0.0516295	0.0126239	0.0208172	0.126873	0.0623496	0.0699936	0.0297379	0.0311149	0.00147894	0.0114799	0.0170608	0.148711	0.0276669	0.0878364	0.0693336	0.646964	0.0425251	0.0202522	0.00866967	0.0141529	0.0506618	0.0377975	0.150039	0.102805	0.0203479	0.998645	0.999654	1.00035	1.00136	2.760649
280	-404.197	-400.0044	-4.192619	653768.1	11.39491	0.159608	0.213175	0.0282965	0.144845	0.0656119	0.211559	0.0524465	0.0395395	0.0178183	0.00571264	0.0291887	0.0829672	0.0721447	0.0379001	0.0412921	0.00868125	0.00572378	0.00745256	0.0495675	0.0615555	0.0379282	0.0995812	0.106178	0.264688	0.178647	0.0143243	0.0369183	0.0149357	0.0705225	0.0114135	0.390604	0.096685	0.0122262	0.998428	0.999598	1.0004	1.00157	2.669739
290	-400.6634	-394.9731	-5.690252	520336.1	10.08454	0.217305	0.126757	0.0618785	0.0995404	0.0722698	0.105624	0.0811574	0.0457692	0.0221741	0.00816495	0.0240885	0.0765737	0.18944	0.0599134	0.0994749	0.00678611	0.00446899	0.00456988	0.0986643	0.0652701	0.0651181	0.0690018	0.0604013	0.423327	0.102473	0.0367531	0.0840256	0.0266364	0.0621914	0.0370169	0.231539	0.0768841	0.0461211	0.998238	0.999549	1.00045	1.00176	2.791377
300	-401.9074	-395.2312	-6.676188	267456.9	7.719799	0.273079	0.0825558	0.0708433	0.127674	0.0992954	0.0960089	0.0357492	0.0171442	0.0046165	0.00801477	0.0597778	0.0553158	0.135221	0.102606	0.0489149	0.00358189	0.00409426	0.000703227	0.0782213	0.054006	0.0759227	0.114737	0.031768	0.18735	0.268793	0.10613	0.106017	0.0398035	0.0481301	0.0132836	0.172516	0.116941	0.0543303	0.997543	0.999371	1.00063	1.00246	2.693145
310	-397.1202	-392.757	-4.363137	813990.9	14.645	0.182613	0.073326	0.044295	0.0894575	0.0515235	0.208537	0.0337778	0.0882197	0.035132	0.00232769	0.0681747	0.104809	0.0792865	0.0500632	0.0518735	0.00610967	0.00632473	0.000686825	0.00516069	0.0569842	0.141114	0.0751739	0.0310521	0.222492	0.0910815	0.0593834	0.0818378	0.0601491	0.0564448	0.0451694	0.181618	0.266271	0.0594807	0.998591	0.99964	1.00036	1.00141	2.609949
320	-398.4673	-392.8586	-5.608695	780262.2	10.88123	0.240991	0.0727055	0.0653144	0.0509473	0.0502632	0.242853	0.0393538	0.050284	0.0599877	0.00155706	0.0743699	0.05641	0.0874211	0.109992	0.145764	0.00931063	0.0104933	0.00212632	0.00473579	0.0827386	0.100935	0.0581039	0.0382988	0.171734	0.121839	0.0330249	0.140343	0.107127	0.0678629	0.0309241	0.155221	0.279588	0.0328387	0.998561	0.999632	1.00037	1.00144	2.79546
330	-404.0244	-397.8947	-6.129667	359867.7	16.10263	0.0688421	0.0564034	0.0870778	0.0607256	0.0548421	0.25312	0.0404233	0.0436276	0.0111906	0.000894892	0.0461143	0.0568884	0.0458892	0.200963	0.142206	0.00668222	0.0385778	0.00120553	0.00731593	0.0423635	0.109602	0.0633543	0.0401527	0.132529	0.108743	0.0365753	0.13766	0.0682252	0.131756	0.0294941	0.0907355	0.318249	0.127315	0.997882	0.999458	1.00054	1.00212	2.659743
340	-395.9298	-387.7505	-8.179296	111448.3	11.58683	0.360375	0.0452863	0.0368821	0.0664813	0.0252608	0.150396	0.0669131	0.0228084	0.012846	0.00281473	0.0316924	0.0769857	0.105587	0.274393	0.0934049	0.00949516	0.037636	0.00234454	0.0312129	0.0204654	0.10224	0.125005	0.0861181	0.241543	0.0535405	0.0819793	0.142845	0.0363603	0.181993	0.0220261	0.141853	0.234146	0.0909143	0.996195	0.999025	1.00097	1.00381	3.013845
350	-401.8107	-391.6044	-10.20631	14375.72	8.59043	0.135269	0.0391016	0.0510387	0.130011	0.016038	0.171295	0.0534581	0.0341784	0.018104	0.0028209	0.0320758	0.234224	0.034832	0.116113	0.0779292	0.0103719	0.0527394	0.00353431	0.0536896	0.0309205	0.064683	0.0129004	0.0675114	0.262604	0.135382	0.307144	0.199692	0.023485	0.198127	0.038188	0.142559	0.285078	0.186269	0.989418	0.997272	1.00269	1.01062	3.221367
