Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
240	-591.9339	-563.2048	-28.72911	75628.89	5.387866	0.674484	0.0977308	0.184799	0.116887	0.173391	0.0477692	0.0617127	0.0327672	0.325538	1.3721	0.334788	0.00576483	0.0459356	0.00353055	0.112895	0.709521	0.29811	0.0845717	0.287894	0.0602103	0.027506	0.016828	0.121428	0.0105956	0.087284	0.0872092	0.413042	0.995382	0.998816	1.00118	1.00463	5.794293
250	-593.6465	-571.3875	-22.25898	68615.1	7.300291	0.34705	0.032919	0.256839	0.148169	0.0936946	0.184093	0.0464964	0.0492607	0.39164	0.825494	0.158643	0.0174066	0.0975672	0.00124745	0.118028	0.494913	0.179375	0.0705888	0.295787	0.0537496	0.00811217	0.020168	0.0467468	0.0255722	0.0829197	0.161424	0.253274	0.995152	0.998756	1.00124	1.00486	4.461179
260	-589.6517	-565.1983	-24.45337	81628.32	4.230449	0.471325	0.0344404	0.0969537	0.22578	0.0747071	0.142867	0.075908	0.0206582	0.403581	1.27099	0.285354	0.0167484	0.0248781	0.000442314	0.121246	0.480203	0.108662	0.062883	0.420822	0.0167964	0.0471584	0.0540004	0.0558674	0.0347174	0.046387	0.183132	0.10357	0.995555	0.99886	1.00113	1.00445	4.880075
270	-593.8395	-571.03	-22.80942	22912.06	5.000155	0.353352	0.0753494	0.189284	0.167746	0.173127	0.110103	0.0489599	0.0350447	0.339297	1.09636	0.217001	0.00492751	0.0114255	0.000629725	0.0785909	0.345269	0.0430404	0.052507	0.33982	0.0137179	0.102988	0.0613845	0.170003	0.100972	0.0795374	0.170219	0.291266	0.991615	0.997843	1.00213	1.00841	4.671925
280	-591.1486	-567.7362	-23.4124	29979.96	3.772238	0.251211	0.0616892	0.109434	0.0884992	0.307521	0.248284	0.0436748	0.0786846	0.392971	0.981595	0.146311	0.00471006	0.0769641	0.00181195	0.134919	0.389461	0.0378975	0.0670197	0.218462	0.0265981	0.102804	0.17697	0.0746613	0.0742548	0.0390762	0.122403	0.142766	0.992668	0.998115	1.00187	1.00735	4.400652
290	-584.3352	-559.7491	-24.58616	130380.6	5.868015	0.19568	0.0625703	0.135304	0.0502779	0.296195	0.0924176	0.0391019	0.0334616	0.306286	1.5209	0.163995	0.00573887	0.0939829	0.0070978	0.261427	0.415323	0.109909	0.109277	0.10718	0.0591481	0.21564	0.167223	0.0546231	0.125878	0.0163659	0.280879	0.0647022	0.996482	0.999099	1.0009	1.00352	4.990581
300	-594.022	-565.2351	-28.78684	135594	5.540836	0.690579	0.0458875	0.0921022	0.052953	0.208089	0.120414	0.00876034	0.0537045	0.169792	1.25021	0.156647	0.00320725	0.020536	0.00266714	0.261427	1.05575	0.263222	0.0577558	0.0539395	0.0187025	0.103513	0.204978	0.0937055	0.0807213	0.0700755	0.546784	0.0895209	0.99655	0.999116	1.00088	1.00345	5.775645
310	-585.3883	-558.8618	-26.52645	596728.9	5.434138	0.374696	0.0258121	0.064934	0.0882426	0.195745	0.190516	0.0213387	0.0804957	0.427387	0.996469	0.189493	0.00307567	0.00879694	0.016951	0.300833	0.64162	0.274039	0.0772247	0.140174	0.126195	0.0625377	0.110017	0.0942043	0.0998441	0.045966	0.646434	0.0773606	0.998355	0.999579	1.00042	1.00165	5.380402
320	-587.7028	-563.9173	-23.78551	399627.5	4.983691	0.523371	0.0587167	0.0569457	0.0830031	0.306394	0.117784	0.0160851	0.0826016	0.214563	1.20172	0.328381	0.012486	0.00400428	0.0220509	0.245231	0.237095	0.214816	0.114649	0.247182	0.0754202	0.0430895	0.261555	0.044365	0.0590013	0.0604917	0.178874	0.0561348	0.99799	0.999486	1.00051	1.00201	4.86601
330	-586.3925	-561.9219	-24.47052	670666.7	6.433344	0.406296	0.09165	0.0655595	0.0653535	0.251988	0.130875	0.0145027	0.0200716	0.363647	1.16256	0.298498	0.0131303	0.00207257	0.0190905	0.256794	0.652238	0.170953	0.144906	0.100202	0.0600921	0.139735	0.157221	0.0447249	0.073756	0.0712718	0.0831061	0.0422089	0.998448	0.999603	1.0004	1.00155	4.902505
