Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
200	-565.3767	-538.4018	-26.97492	457638.9	11.33034	0.0498922	0.299198	0.138976	0.0310015	0.0548261	0.0705852	0.0555329	0.12394	0.050881	0.0781504	0.0661755	0.0166165	0.00858356	0.0665433	0.0943104	0.00406631	0.17451	0.0920529	0.281954	0.160933	0.0504471	0.315762	0.145737	0.0531655	0.0472883	0.0965741	0.00850557	0.160324	0.281996	0.0711221	0.0519512	0.0332406	0.157455	0.00779182	0.203955	0.0689069	0.564303	0.144444	0.0026531	0.0674166	0.0409117	0.0361053	0.15852	0.194447	0.0989071	0.299734	0.0456537	0.0212078	0.0573982	0.109854	0.00378501	0.00280185	0.075323	0.024489	0.0221034	0.167622	0.0468157	0.0594284	0.0362162	0.998122	0.999519	1.00048	1.00188	5.953089
210	-557.0287	-531.7229	-25.30577	462687.1	9.428564	0.0371669	0.0958818	0.179378	0.0899617	0.0179257	0.120139	0.0231	0.205945	0.0491527	0.0381855	0.0367504	0.00388983	0.00556826	0.0484701	0.230793	0.00286606	0.059699	0.113983	0.325345	0.138911	0.0641374	0.165791	0.0943251	0.177543	0.0500318	0.107195	0.0168955	0.146755	0.0566535	0.0744634	0.11578	0.23853	0.082682	0.0195921	0.361378	0.0336512	0.689143	0.0267396	0.00436505	0.0493158	0.104478	0.0827983	0.0838645	0.145762	0.131788	0.0567752	0.0413992	0.00768005	0.0636058	0.0853244	0.0112923	0.00769652	0.11499	0.151764	0.0415902	0.145642	0.0734913	0.0582783	0.0610905	0.998132	0.999522	1.00048	1.00187	5.86739
220	-567.5301	-530.5281	-37.002	345045.2	9.367389	0.196145	0.0660283	0.341158	0.113205	0.008637	0.154821	0.0743369	0.371856	0.0205724	0.0502111	0.0846876	0.00945563	0.00395145	0.0962372	0.122752	0.00732195	0.02939	0.129672	0.51984	0.0413567	0.168018	0.198581	0.0923482	0.43348	0.0192422	0.148675	0.0259892	0.144169	0.0877308	0.175075	0.0444352	0.0431939	0.0345184	0.102721	0.14566	0.0819629	0.829151	0.051205	0.014216	0.0201385	0.0879247	0.0455405	0.234724	0.0813383	0.198175	0.0554852	0.0551236	0.0107097	0.0468529	0.0764624	0.0177875	0.00287804	0.402549	0.186864	0.0317775	0.123895	0.0336929	0.0610431	0.0596593	0.997837	0.999446	1.00055	1.00216	7.114626
230	-560.4828	-537.11	-23.37284	399809.3	9.40906	0.283602	0.251508	0.331174	0.0606438	0.0092238	0.164751	0.17865	0.168432	0.00440447	0.0149709	0.0143552	0.0143145	0.00990992	0.0940195	0.0742029	0.0073758	0.0462676	0.313992	0.208248	0.0635028	0.112827	0.216227	0.161717	0.135334	0.0625707	0.0862506	0.0130163	0.122828	0.0427828	0.0623173	0.0623898	0.0178562	0.0567009	0.0899004	0.103088	0.111374	0.344369	0.0549492	0.0149333	0.0385163	0.0172977	0.0666025	0.185787	0.107095	0.0646203	0.0362054	0.045436	0.0140799	0.124663	0.159825	0.0193276	0.00955865	0.119923	0.0857238	0.0936535	0.119466	0.0459628	0.0320209	0.0908064	0.99799	0.999486	1.00051	1.00201	5.66155
240	-548.7118	-528.1651	-20.54675	572743	9.771717	0.23007	0.108234	0.166231	0.114296	0.0166608	0.0491837	0.055187	0.0402917	0.00257937	0.0161929	0.0217708	0.0381044	0.0304187	0.0890766	0.0792371	0.007575	0.0744603	0.0676521	0.133747	0.0643952	0.183966	0.176902	0.215958	0.090727	0.0619823	0.0543401	0.0193125	0.133634	0.0455542	0.0575858	0.0403745	0.00883366	0.13784	0.14782	0.0959736	0.0725448	0.578133	0.0140156	0.0920299	0.0479134	0.036767	0.0746284	0.269994	0.163023	0.0833147	0.0415845	0.0633229	0.0127319	0.163415	0.0614654	0.0358754	0.00558936	0.228529	0.0429663	0.218621	0.0477322	0.0599451	0.0345674	0.0582675	0.998321	0.999571	1.00043	1.00168	5.383144
250	-569.4854	-546.6487	-22.83667	706802.1	8.582179	0.113931	0.0407033	0.13177	0.143055	0.0242803	0.124428	0.115231	0.0181793	0.0100426	0.0388369	0.0221864	0.0379246	0.0602433	0.216771	0.0596238	0.0219191	0.092765	0.325068	0.209704	0.0329356	0.0363375	0.170768	0.221593	0.12883	0.0937714	0.0540376	0.0105053	0.148439	0.029998	0.140496	0.0427276	0.0203523	0.0508183	0.102877	0.127269	0.0314306	0.423376	0.0105261	0.0535383	0.0324107	0.00931251	0.0263591	0.277379	0.0703014	0.0643108	0.0371619	0.0201414	0.0180327	0.0914979	0.17501	0.0233998	0.0120554	0.360851	0.0398666	0.197255	0.102062	0.154191	0.0181222	0.0644443	0.998488	0.999613	1.00039	1.00151	5.531455
260	-555.1196	-523.6664	-31.45328	859303.4	8.279237	0.121262	0.0204502	0.444256	0.124727	0.0162639	0.157709	0.068341	0.0213166	0.00398607	0.0989444	0.0338792	0.00729329	0.03184	0.140047	0.048066	0.0311209	0.0501927	0.127637	0.558849	0.0607859	0.0978366	0.0685971	0.191969	0.221757	0.0504936	0.0877762	0.0234444	0.194567	0.04932	0.105794	0.0895513	0.0381213	0.0249423	0.179991	0.291649	0.0340651	0.800682	0.0173971	0.151822	0.0354956	0.0145804	0.0325621	0.173908	0.29765	0.0318411	0.0833508	0.0356716	0.0139688	0.0847148	0.0845255	0.0295951	0.0173981	0.163071	0.0600891	0.177024	0.0108196	0.0852101	0.0424282	0.165177	0.998629	0.999649	1.00035	1.00137	6.525825
270	-576.0683	-534.7781	-41.29021	521036.7	7.5131	0.157142	0.0216731	0.482012	0.0582923	0.0358987	0.250591	0.028098	0.0597124	0.00167265	0.170196	0.0585134	0.0140299	0.038739	0.126586	0.0253902	0.0251263	0.0963309	0.157608	0.548284	0.239298	0.0752374	0.142753	0.117075	0.151599	0.135161	0.134975	0.0315177	0.346148	0.0694114	0.110737	0.115466	0.0263019	0.0165652	0.318109	0.350914	0.0598098	1.15213	0.00629392	0.0644566	0.120683	0.0100403	0.0144435	0.102762	0.107399	0.0426769	0.0890149	0.0328322	0.0443053	0.0593003	0.0725044	0.121331	0.0189857	0.194498	0.0158758	0.432699	0.0487812	0.0398802	0.0843059	0.0862728	0.99824	0.99955	1.00045	1.00176	7.758442
280	-571.38	-538.0671	-33.31294	623971.2	8.205889	0.125549	0.160661	0.0580293	0.115371	0.154307	0.250343	0.0152797	0.0807791	0.00383649	0.241167	0.0554799	0.0335351	0.0384718	0.104272	0.0312299	0.0623881	0.218792	0.153847	0.381878	0.0859408	0.0428622	0.0369666	0.135849	0.154601	0.0844619	0.08918	0.0604381	0.153693	0.214031	0.0345629	0.143776	0.0261665	0.0747365	0.0959509	0.323989	0.0181467	1.04302	0.00754851	0.2171	0.0670649	0.0368803	0.0214096	0.054047	0.0552937	0.130839	0.0942125	0.0496522	0.0284554	0.0355653	0.0973448	0.0709816	0.0340462	0.174968	0.020644	0.187326	0.0369098	0.0461134	0.0288249	0.149777	0.998391	0.999589	1.00041	1.00161	6.748587
290	-582.2067	-538.8678	-43.33888	228826.8	7.284496	0.0699903	0.130704	0.289857	0.266261	0.268906	0.0969899	0.021911	0.180355	0.00598479	0.138053	0.0702557	0.0236418	0.0291101	0.153573	0.0433116	0.0368926	0.242911	0.0393315	1.02493	0.125385	0.0706049	0.0498637	0.137322	0.171125	0.0415898	0.325557	0.0280739	0.0782339	0.0384127	0.064335	0.0788779	0.0307735	0.0611544	0.277086	0.216965	0.0447158	1.04907	0.0262781	0.0749267	0.267465	0.0625866	0.111731	0.0449914	0.0681705	0.124409	0.0652661	0.13723	0.110383	0.0396838	0.128745	0.0501484	0.0494888	0.0702628	0.11274	0.215819	0.0404269	0.0831995	0.0411027	0.0919923	0.997344	0.99932	1.00068	1.00266	8.039163
