Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
210	-137.9391	-116.4853	-21.45382	770575.5	6.538607	0.109975	0.0482618	0.0161384	0.0141492	0.145491	0.242826	0.0138991	0.124278	0.203777	0.070078	0.00342707	0.311168	0.00655598	0.0913972	0.0582678	0.0940852	0.0207563	0.000672994	0.227874	0.0813948	0.201152	0.198815	0.236041	0.188694	0.725877	0.0114361	0.0413227	0.00174716	0.0159816	0.15213	0.157916	0.153163	0.0320877	0.0222067	0.0134458	0.0310624	0.658945	0.998552	0.99963	1.00037	1.00145	4.726495
220	-128.4815	-117.2083	-11.27324	962168.1	11.85457	0.0960342	0.0234729	0.00731568	0.0230827	0.0971069	0.431258	0.0141763	0.0277455	0.0568437	0.0841065	0.00164761	0.104614	0.00836604	0.137561	0.0760596	0.0564995	0.0234084	0.00101419	0.197452	0.081199	0.359785	0.0643057	0.150071	0.290522	0.170575	0.0208867	0.0234536	0.000634753	0.0144471	0.0458087	0.224434	0.275976	0.0344627	0.059446	0.0321223	0.0331114	0.166559	0.998704	0.999669	1.00033	1.0013	3.515566
230	-122.75	-114.0898	-8.660189	350702.1	11.65689	0.0388665	0.0320398	0.00447583	0.0695898	0.0497638	0.174081	0.0172303	0.0322425	0.117691	0.0971775	0.00269674	0.0995354	0.00723052	0.143297	0.0916756	0.0555465	0.0196937	0.00108652	0.31152	0.0621105	0.354118	0.0796537	0.224549	0.119777	0.0994274	0.0385805	0.0100322	0.000969023	0.0180509	0.0452351	0.200242	0.0746439	0.036943	0.0379619	0.0184236	0.0491417	0.465736	0.997854	0.999451	1.00055	1.00215	3.301036
240	-113.0163	-110.3878	-2.628515	407717.4	11.48152	0.0316695	0.0155323	0.0055956	0.0733668	0.0249688	0.0862658	0.0337469	0.0434242	0.235601	0.0295816	0.00788598	0.090917	0.0389855	0.0658791	0.0435753	0.0410863	0.0153361	0.00167633	0.0721922	0.0439981	0.446821	0.126636	0.205834	0.114569	0.0681984	0.0285459	0.00423282	0.00165069	0.0107397	0.105286	0.054269	0.067532	0.0232086	0.0334913	0.0220468	0.0674422	0.398537	0.99801	0.999491	1.00051	1.00199	2.780324
250	-124.4528	-120.1718	-4.281014	957630.6	10.3031	0.0243435	0.0166725	0.00551253	0.179782	0.0560177	0.0610267	0.0231259	0.0291187	0.104499	0.0352137	0.00861163	0.191633	0.0184014	0.0763346	0.0760284	0.0247872	0.0158784	0.00120563	0.172819	0.0975629	0.196798	0.0983731	0.246819	0.0865641	0.152746	0.064969	0.00480206	0.00269518	0.0401678	0.0666749	0.064588	0.111458	0.0250897	0.0354436	0.0193105	0.0709596	0.386653	0.998701	0.999668	1.00033	1.0013	2.892688
260	-129.7544	-119.4866	-10.26783	639311.9	13.46475	0.00826911	0.0618187	0.00164239	0.108555	0.0778774	0.0354512	0.03746	0.0462188	0.190864	0.0270205	0.0156098	0.0828799	0.0565786	0.243173	0.0856804	0.00630199	0.0220437	0.00225267	0.101346	0.119922	0.201805	0.252286	0.131321	0.0400711	0.0823141	0.0717753	0.0288697	0.00159686	0.0667521	0.216422	0.0209396	0.441311	0.017688	0.0320051	0.0188705	0.0842582	0.307301	0.998411	0.999594	1.00041	1.00159	3.34655
270	-135.965	-121.9903	-13.97468	762729.6	9.522714	0.00689926	0.0634582	0.00718249	0.123734	0.170415	0.107117	0.226705	0.0607673	0.073108	0.0475294	0.0190618	0.0503056	0.35498	0.134811	0.0624427	0.0200931	0.049557	0.00607176	0.0599309	0.187312	0.0571491	0.228795	0.191284	0.0233401	0.133351	0.0989642	0.0650963	0.00120091	0.0293898	0.136551	0.0783772	0.396062	0.0217254	0.108806	0.0545072	0.0778979	0.32407	0.998545	0.999628	1.00037	1.00146	3.858049
280	-134.0797	-116.7132	-17.36645	262754.9	8.990848	0.00228661	0.0281598	0.00984733	0.166193	0.043853	0.0233094	0.312576	0.068365	0.201406	0.0681601	0.0265687	0.0392467	0.155894	0.0712564	0.158069	0.0487094	0.021879	0.0152336	0.0485525	0.142587	0.442568	0.041509	0.309979	0.0522836	0.41882	0.0597503	0.120102	0.00102278	0.0743754	0.236777	0.0344024	0.125947	0.0232572	0.0538644	0.0453242	0.136163	0.410539	0.997521	0.999366	1.00063	1.00248	4.238838
290	-140.8586	-119.3245	-21.53407	345219.2	5.897454	0.0160834	0.0620833	0.00919243	0.205917	0.0130321	0.0854008	0.234979	0.155998	0.318748	0.18516	0.0341412	0.0296882	0.231173	0.103425	0.429932	0.0307146	0.026515	0.00804082	0.172064	0.0897671	0.208657	0.055234	0.53679	0.0637166	0.100204	0.0983826	0.0390237	0.000774811	0.0678364	0.105126	0.0223733	0.160536	0.0605459	0.120185	0.0243457	0.148714	0.37371	0.997837	0.999447	1.00055	1.00216	4.628209
300	-131.6168	-113.6233	-17.99354	273930.9	11.51166	0.0363197	0.0967506	0.0125438	0.0874037	0.00743903	0.0711081	0.176966	0.268733	0.064146	0.0909289	0.0156869	0.108123	0.0466191	0.0679441	0.0551943	0.0429253	0.0382168	0.0139667	0.0978497	0.152256	0.239906	0.102557	0.230877	0.0951366	0.235385	0.0942753	0.0878826	0.00176258	0.0934761	0.255058	0.0427003	0.210217	0.0713756	0.0971667	0.0269143	0.120971	0.558902	0.997572	0.999379	1.00062	1.00243	4.115683
310	-142.4871	-120.1729	-22.31421	194830.1	6.585256	0.0503756	0.0616828	0.00698815	0.176306	0.0100952	0.0984623	0.161239	0.11007	0.154232	0.025298	0.0154327	0.475485	0.202067	0.0203205	0.121919	0.0306412	0.0671827	0.0129348	0.139004	0.213316	0.457106	0.060923	0.114999	0.053054	0.327712	0.0473417	0.0409138	0.00228635	0.0947611	0.23282	0.0318086	0.0992018	0.13456	0.0676493	0.0286617	0.141193	0.774151	0.997122	0.999263	1.00073	1.00288	4.862193
320	-139.737	-125.0395	-14.69753	435677.8	12.38812	0.0411067	0.0222936	0.025875	0.14617	0.0246763	0.056398	0.282026	0.18254	0.218155	0.0863008	0.00600713	0.202968	0.279291	0.0070193	0.215028	0.145419	0.0304968	0.0132414	0.0357339	0.233112	0.049787	0.087877	0.0787461	0.0666344	0.155447	0.0856795	0.0384517	0.0380337	0.0533006	0.144493	0.0271974	0.067185	0.0658144	0.0806583	0.0115555	0.174863	0.283864	0.998075	0.999507	1.00049	1.00193	3.763445
330	-145.3061	-128.4583	-16.8478	391885.2	9.088866	0.0735452	0.0388846	0.0501385	0.192936	0.00354358	0.0759546	0.187257	0.0207607	0.108203	0.0869174	0.0411118	0.439012	0.196975	0.00702182	0.240374	0.0764688	0.0701676	0.00263553	0.0841275	0.398757	0.0105101	0.0491414	0.0652437	0.133944	0.0981142	0.0601127	0.0338045	0.0682765	0.122548	0.111099	0.140105	0.30378	0.0833928	0.0952415	0.0430085	0.208655	0.156276	0.99797	0.999481	1.00052	1.00203	4.178044
340	-133.0108	-119.4654	-13.5454	292509.3	9.021214	0.02118	0.0767189	0.0169736	0.063713	0.0036054	0.121078	0.134004	0.0197606	0.0646748	0.146485	0.0993697	0.0872628	0.222406	0.00179339	0.074346	0.0197964	0.16954	0.0155978	0.139131	0.0559744	0.00473277	0.0168057	0.178986	0.105041	0.202175	0.120572	0.0583281	0.104875	0.246484	0.233498	0.157971	0.141162	0.0677861	0.0930149	0.014768	0.172442	0.342111	0.997651	0.999399	1.0006	1.00235	3.814163
350	-140.4044	-119.9549	-20.4495	888950.8	8.167542	0.0417007	0.0881377	0.0562956	0.0572303	0.0127961	0.131906	0.0907477	0.101901	0.113003	0.199662	0.112871	0.0459797	0.167946	0.00118368	0.20765	0.0280754	0.0794816	0.014408	0.131211	0.263148	0.0143387	0.00277739	0.31007	0.0362982	0.215932	0.153285	0.0167313	0.168315	0.310541	0.213465	0.133957	0.294137	0.118773	0.173654	0.0147428	0.0598486	0.446485	0.998652	0.999655	1.00034	1.00135	4.628688
360	-149.3206	-126.7045	-22.61608	848775	5.880088	0.097878	0.182243	0.112648	0.118135	0.032895	0.0701516	0.199412	0.110627	0.0824406	0.142357	0.142823	0.0725136	0.239	0.000351573	0.221627	0.0124165	0.191381	0.013892	0.0911131	0.299683	0.0705809	0.00330379	0.0294525	0.195224	0.194752	0.0848503	0.0387813	0.0899168	0.369055	0.213777	0.105949	0.24891	0.143884	0.230711	0.0302336	0.0669192	0.258038	0.998621	0.999647	1.00035	1.00138	4.807923
370	-133.1737	-119.0031	-14.17061	229680.3	10.55961	0.0516663	0.068362	0.157546	0.135847	0.105242	0.121876	0.0655703	0.0485523	0.057436	0.0989207	0.352996	0.0658167	0.189383	0.000647477	0.152963	0.0136102	0.0354004	0.023922	0.0620217	0.102504	0.0707403	0.00122755	0.0378618	0.168911	0.191414	0.0808438	0.0943396	0.00846149	0.310785	0.0327197	0.116002	0.1996	0.143418	0.1366	0.0294985	0.0321971	0.275374	0.997349	0.999321	1.00068	1.00265	3.840277
380	-144.5116	-113.1001	-31.41152	94454.1	5.270378	0.119668	0.0669632	0.0716482	0.168956	0.080677	0.0201578	0.197924	0.0652452	0.0394945	0.114368	0.292511	0.158663	0.207883	0.00103132	0.19596	0.0245395	0.0554216	0.053107	0.0465148	0.188062	0.0568939	0.00121902	0.0978957	0.154523	0.127564	0.173408	0.0283278	0.00330058	0.833426	0.0449438	0.51897	0.250747	0.0871371	0.109953	0.0208216	0.0137705	1.5959	0.995867	0.998941	1.00105	1.00414	6.287599
390	-145.0689	-117.8301	-27.23885	371614.1	7.522483	0.0585845	0.235285	0.096726	0.0703027	0.0965601	0.0174656	0.263467	0.0424736	0.0204841	0.0882788	0.0587748	0.17849	0.262613	0.000458676	0.259742	0.197056	0.0168799	0.0276692	0.105156	0.219688	0.0398046	0.000920872	0.197218	0.119147	0.182853	0.24941	0.00452956	0.00269946	0.818557	0.020282	0.247451	0.285665	0.181998	0.201288	0.0569342	0.0304794	0.58524	0.997916	0.999467	1.00053	1.00209	5.540633
400	-152.6916	-123.1484	-29.54323	532444.9	4.303223	0.0486614	0.198666	0.0716017	0.0433326	0.0115111	0.110439	0.114399	0.018586	0.0291201	0.106778	0.0801325	0.334058	0.389082	0.000228602	0.201369	0.254097	0.0194528	0.0367418	0.0672506	0.197825	0.0586159	0.00205304	0.10795	0.454579	0.382396	0.0460403	0.00900719	0.0133234	0.467772	0.0267609	0.241293	0.280726	0.208542	0.202012	0.0271062	0.0374719	0.669372	0.998259	0.999555	1.00044	1.00174	5.568353
410	-155.0167	-124.6965	-30.32016	755914.8	5.153543	0.0821898	0.170875	0.167977	0.0748022	0.0420854	0.455255	0.0875023	0.00847264	0.0254351	0.238762	0.0663625	0.122941	0.214075	0.000331677	0.0457069	0.145047	0.0354079	0.0297031	0.0561348	0.0678907	0.0583264	0.000601638	0.119098	0.273864	0.330278	0.0211437	0.102665	0.0173556	1.05777	0.00160431	1.05529	0.0948972	0.169106	0.192082	0.0129929	0.0350689	0.382861	0.998538	0.999626	1.00037	1.00146	6.061961
420	-124.9383	-112.9003	-12.03804	619300.8	10.95332	0.0373167	0.153114	0.0280336	0.0598016	0.0187672	0.137865	0.0931498	0.00540101	0.0280227	0.258772	0.0788037	0.144701	0.153867	0.000355916	0.0120408	0.0930752	0.00748975	0.0263649	0.0530779	0.0389749	0.0827762	0.00186994	0.0616513	0.0531204	0.269808	0.0278443	0.0229675	0.00497296	0.476782	0.00160082	0.440909	0.03456	0.177168	0.128805	0.014804	0.0144154	0.380961	0.998385	0.999587	1.00041	1.00162	3.624011
430	-126.2538	-117.1118	-9.141958	358136.7	9.106948	0.0471309	0.0387793	0.112241	0.119029	0.104215	0.0909592	0.0810656	0.00439169	0.0150983	0.199848	0.0699636	0.209708	0.356083	0.000499957	0.0104377	0.109375	0.0179739	0.0284455	0.0528327	0.0353532	0.0719365	0.00223891	0.114047	0.1487	0.20904	0.113527	0.0196726	0.0338241	0.291991	0.000592566	0.389088	0.0172513	0.0598537	0.035767	0.0108715	0.00842421	0.10102	0.997877	0.999457	1.00054	1.00212	3.331276
440	-121.4243	-115.2785	-6.145801	296014.2	10.93963	0.0382229	0.0549499	0.104183	0.0574565	0.086289	0.037628	0.0698007	0.0270448	0.0271063	0.284064	0.287369	0.0692745	0.149407	0.00093425	0.023753	0.104073	0.0370937	0.0198612	0.026605	0.0550859	0.0732323	0.000987165	0.0894169	0.038874	0.295131	0.0720946	0.00471676	0.0386369	0.319875	0.00106226	0.367478	0.0685557	0.0625824	0.0176975	0.0160281	0.00803854	0.0513438	0.997665	0.999402	1.0006	1.00234	3.085952
450	-123.1418	-113.6722	-9.469617	322112.7	12.11506	0.0546217	0.143033	0.0405134	0.100513	0.0275401	0.0293129	0.0783845	0.0224126	0.0754941	0.124038	0.300792	0.160562	0.0873377	0.000342547	0.0546931	0.0708017	0.0332765	0.0109673	0.0435168	0.144619	0.0514262	0.00225272	0.0538357	0.0609485	0.134203	0.026891	0.0241825	0.0817373	0.25795	0.00443566	0.766339	0.15914	0.0178227	0.0149422	0.023404	0.0441273	0.0267747	0.997761	0.999427	1.00057	1.00224	3.353184
460	-133.9262	-119.3184	-14.60784	430729.9	9.531676	0.0633387	0.129859	0.0208389	0.15016	0.0497518	0.0224256	0.0599318	0.0220514	0.0904487	0.097839	0.727648	0.335569	0.0942006	0.000445302	0.0542342	0.027347	0.0404535	0.0399209	0.0475543	0.259305	0.0234107	0.0207516	0.0837183	0.0412462	0.0303385	0.0413112	0.0570637	0.392017	0.240948	0.00841524	0.252266	0.163023	0.00637215	0.0214702	0.0788659	0.0505185	0.0792544	0.998064	0.999505	1.00049	1.00194	3.924312
470	-132.503	-115.9172	-16.58576	902776.5	9.389368	0.0488181	0.0646859	0.0236375	0.115034	0.0462412	0.0143421	0.0511339	0.0652502	0.334747	0.0848347	0.214542	0.259249	0.147219	0.00021376	0.203042	0.0322479	0.0202433	0.0737171	0.138149	0.0801908	0.0612907	0.0149392	0.149103	0.101945	0.101225	0.0843214	0.0922426	0.697487	0.201025	0.0104005	0.27923	0.144834	0.00396251	0.0197437	0.0544213	0.0413863	0.063104	0.998663	0.999658	1.00034	1.00134	4.138199
480	-129.271	-116.7013	-12.56977	501741.6	11.04481	0.0865682	0.0677134	0.00874765	0.118084	0.096938	0.00708483	0.0486403	0.0429343	0.10819	0.0592453	0.0964777	0.172387	0.0632183	0.000300282	0.205974	0.069386	0.0307317	0.0451354	0.0930484	0.163735	0.093062	0.0360593	0.18729	0.0764381	0.136994	0.0411128	0.0448735	0.522913	0.472266	0.0260766	0.174293	0.0889515	0.00491456	0.0483083	0.0735651	0.0250406	0.0316441	0.998206	0.999541	1.00046	1.0018	3.668343
