Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
200	-1357.722	-1342.058	-15.664	660848.9	14.75748	0.0142882	0.00623377	0.0682388	0.0125206	0.0588906	0.0655439	0.0485137	0.0692678	0.205241	0.0319919	0.0298123	0.0447266	0.0693732	0.0378175	0.0190072	0.121782	0.0426782	0.0344435	0.00998042	0.150733	0.0188424	0.0814079	0.0248074	0.0536955	0.142078	0.168286	0.103146	0.0703221	0.0852176	0.0362413	0.156639	0.081634	0.14595	0.0247437	0.379456	0.128263	0.0292278	0.408215	0.0218552	0.0228814	0.156682	0.0294397	0.138692	0.0501666	0.0242859	0.0534915	0.168821	0.017684	0.0786175	0.0283488	0.128689	0.0598361	0.218822	0.0712202	0.0369159	0.0354099	0.00872189	0.0927124	0.0546329	0.00288795	0.124988	0.998437	0.9996	1.0004	1.00156	4.90506
210	-1365.816	-1347.083	-18.73314	435982.4	9.959976	0.0464169	0.00540429	0.101539	0.0030154	0.0166333	0.0262506	0.0118171	0.0455028	0.138314	0.0583551	0.0264966	0.0651022	0.0344395	0.0221921	0.028172	0.106764	0.0504283	0.060631	0.0199433	0.0162717	0.01736	0.0760855	0.136831	0.0373303	0.055327	0.224804	0.0889494	0.0990132	0.0656583	0.0620518	0.116485	0.111932	0.0916366	0.0257575	0.307951	0.129974	0.0695925	0.490244	0.0366457	0.0126637	0.0743948	0.025622	0.293968	0.0988598	0.0240733	0.0620457	0.13235	0.052198	0.0935675	0.0195131	0.409136	0.103632	0.173731	0.0842586	0.0556242	0.0747791	0.00388985	0.204479	0.0798504	0.00287048	0.0553705	0.998076	0.999508	1.00049	1.00193	5.264196
220	-1364.49	-1350.47	-14.01995	890640.3	15.15238	0.0344274	0.00911842	0.0624572	0.00289651	0.0241535	0.0227184	0.0184678	0.112793	0.337906	0.0728373	0.00541978	0.0881714	0.0519639	0.0144389	0.0419634	0.0658782	0.0779786	0.104463	0.0221799	0.00945927	0.0109609	0.0629855	0.0921924	0.0119467	0.148219	0.100014	0.0721273	0.0556532	0.0571119	0.0386992	0.0937562	0.0243545	0.0786431	0.0205584	0.298187	0.0726497	0.0620117	0.286334	0.066444	0.00221344	0.133063	0.0775506	0.103644	0.0990625	0.0323643	0.124772	0.126061	0.058313	0.0826942	0.0611812	0.286687	0.121457	0.175564	0.0752611	0.022553	0.0466564	0.0106932	0.106985	0.144932	0.00305439	0.0425172	0.998653	0.999656	1.00034	1.00135	4.769822
230	-1358.12	-1343.069	-15.05089	165844.3	11.95164	0.0260339	0.00560908	0.0554637	0.00941157	0.018849	0.0307384	0.0170678	0.0743724	0.199437	0.0582214	0.0083214	0.0706237	0.0950361	0.0167852	0.0275268	0.105159	0.0609835	0.10503	0.0156079	0.0154575	0.023952	0.0537209	0.111064	0.0863789	0.0906259	0.142478	0.139639	0.0430164	0.0350624	0.0521464	0.0913297	0.0127633	0.263103	0.0407945	0.295678	0.0879605	0.0927709	0.461135	0.0131808	0.00362159	0.153365	0.0613868	0.0978679	0.0633246	0.0129891	0.149792	0.130015	0.0184681	0.0499372	0.0577582	0.151235	0.244144	0.108334	0.0831797	0.0384878	0.0427835	0.0176743	0.150766	0.105329	0.00205963	0.0808844	0.99688	0.999201	1.0008	1.00312	4.975937
240	-1353.709	-1339.585	-14.12438	27857.44	9.944222	0.0233035	0.00221943	0.11043	0.00984738	0.0513944	0.0334782	0.0281551	0.0421391	0.194894	0.0106175	0.0161179	0.0638291	0.0883076	0.0217738	0.0209417	0.123413	0.0769888	0.0410312	0.0504621	0.0184454	0.0383912	0.147471	0.0654518	0.0572187	0.0672749	0.222308	0.10523	0.108386	0.0711436	0.05165	0.133008	0.0163262	0.137892	0.047027	0.293733	0.176185	0.0496864	0.3355	0.02814	0.0113958	0.128206	0.0311708	0.190681	0.0310324	0.0186551	0.04871	0.109321	0.00662416	0.0408756	0.0257911	0.0835842	0.144488	0.159296	0.13368	0.0422949	0.0306115	0.0310054	0.0690351	0.170092	0.00143604	0.111885	0.992395	0.998045	1.00193	1.00763	4.799681
250	-1354.021	-1336.437	-17.58348	19117.08	11.22792	0.00943868	0.00254879	0.108382	0.00769734	0.0218443	0.0650938	0.0282235	0.105951	0.244353	0.00747141	0.0143162	0.102198	0.0346846	0.0299479	0.0288169	0.117834	0.0616166	0.023132	0.0732578	0.0368569	0.0361934	0.0514224	0.0844826	0.143485	0.105687	0.237782	0.0501694	0.0947358	0.0371413	0.044201	0.194039	0.0205247	0.126254	0.0468173	0.252648	0.109123	0.0536299	0.477002	0.0178839	0.00829355	0.0862157	0.0564586	0.286461	0.0233647	0.00413263	0.0818267	0.128523	0.00799269	0.0331491	0.0748798	0.146678	0.147595	0.201125	0.139835	0.0580492	0.0463011	0.0291037	0.159123	0.128919	0.00164215	0.039203	0.990822	0.997637	1.00233	1.00921	5.19576
260	-1363.391	-1347.629	-15.76293	18627.74	10.45895	0.0377039	0.00394133	0.0839992	0.0138003	0.0314172	0.0406887	0.0216456	0.0292063	0.384853	0.00763034	0.013355	0.1061	0.0272458	0.0557579	0.0651946	0.0598669	0.0280841	0.00555107	0.0701581	0.0593522	0.024201	0.0336357	0.0587592	0.168287	0.0947067	0.187727	0.0583958	0.0951444	0.0498352	0.0355496	0.14199	0.0140276	0.127073	0.0434414	0.367464	0.092061	0.073551	0.450296	0.0444616	0.00258831	0.105284	0.0470496	0.112494	0.0227222	0.0173317	0.140925	0.132764	0.00796346	0.0248765	0.0561042	0.142507	0.198526	0.0615868	0.152787	0.078849	0.0119584	0.096116	0.24597	0.0201686	0.00110429	0.0187925	0.990702	0.997606	1.00236	1.00933	5.004627
270	-1369.574	-1347.525	-22.04948	94705.83	11.12142	0.0189669	0.00279409	0.101981	0.0213281	0.0144492	0.0430438	0.0537689	0.067829	0.143663	0.0122038	0.0166181	0.100009	0.046259	0.0278003	0.0160014	0.0645358	0.0595095	0.00948945	0.0295615	0.150415	0.00540419	0.0895413	0.046997	0.0447835	0.0711738	0.124078	0.0359633	0.155917	0.0694076	0.0405398	0.12245	0.00542322	0.235302	0.0560594	0.450698	0.11837	0.118768	0.606369	0.0766359	0.000396426	0.217203	0.0753297	0.0613172	0.0243001	0.0239026	0.171014	0.179763	0.0290211	0.0459108	0.0927836	0.212658	0.185043	0.125922	0.327357	0.135579	0.0152038	0.0484283	0.119681	0.0152227	0.00157402	0.0150058	0.995873	0.998942	1.00105	1.00413	5.596724
280	-1361.798	-1341.488	-20.30972	382302.2	13.8731	0.00688399	0.00105196	0.0930719	0.0132488	0.0219494	0.0441064	0.0220031	0.0316843	0.245828	0.0115492	0.0487763	0.0668462	0.0417802	0.0451562	0.0574158	0.0399058	0.0530368	0.00547344	0.0181495	0.10171	0.0123175	0.142805	0.060882	0.102033	0.0627969	0.168609	0.076436	0.136573	0.0363503	0.0644815	0.110593	0.0163392	0.108286	0.0589193	0.267291	0.285812	0.0462165	0.560252	0.0675057	0.00215262	0.217547	0.0497284	0.120125	0.156308	0.0176639	0.0728017	0.199726	0.0108837	0.0287173	0.0464718	0.191786	0.162421	0.19479	0.173441	0.0760247	0.0223743	0.0445166	0.109655	0.0179028	0.000859122	0.0236204	0.997945	0.999474	1.00052	1.00206	5.293641
290	-1357.736	-1345.421	-12.31496	355005.1	11.37267	0.00874933	0.00304644	0.0995766	0.0135453	0.0137961	0.0903965	0.0358093	0.0684189	0.148	0.0173715	0.0595259	0.10676	0.0749093	0.00561756	0.0715613	0.0311362	0.0357605	0.0124621	0.0216386	0.0583729	0.0347562	0.0603751	0.0312221	0.0829493	0.0396466	0.0747493	0.0607221	0.077122	0.0284885	0.0124157	0.178797	0.0715674	0.185459	0.0393488	0.396935	0.253133	0.0620076	0.388979	0.0305559	0.0027768	0.177188	0.0287131	0.110745	0.095241	0.0311595	0.0762682	0.158933	0.0426744	0.0110366	0.0361384	0.117314	0.141674	0.106298	0.133489	0.0540868	0.0642913	0.051641	0.145865	0.0239198	0.00137248	0.0360191	0.997867	0.999454	1.00054	1.00213	4.732529
300	-1355.244	-1343.377	-11.86632	500354.5	12.05215	0.0145048	0.00492668	0.0612495	0.0232491	0.0490174	0.0834067	0.0178068	0.0913022	0.195294	0.0161763	0.0195537	0.134984	0.0608805	0.00188016	0.119984	0.071358	0.0673432	0.0386409	0.0175867	0.0586963	0.0303425	0.0688754	0.0562728	0.140959	0.0596909	0.112245	0.0257133	0.052732	0.0119907	0.00732022	0.195364	0.0265541	0.0443832	0.0404563	0.298508	0.231035	0.0502801	0.425762	0.020222	0.00363147	0.119194	0.0288601	0.205216	0.0470786	0.0295482	0.128088	0.0877232	0.0193007	0.0285652	0.056476	0.0942862	0.127026	0.0803754	0.137607	0.0852534	0.0687774	0.0664202	0.0886284	0.060037	0.0238628	0.0784223	0.998204	0.99954	1.00046	1.0018	4.710926
